t_unix | state | seq | age_ms | estop_latched | thr | str | tgt_L | tgt_R | act_L | act_R | L_dir L_pwm | R_dir R_pwm
1769262667.457 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262667.580 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262667.704 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262667.827 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262667.950 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262668.076 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262668.200 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262668.325 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262668.449 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262668.571 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262668.694 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262668.818 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262668.943 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262669.067 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262669.190 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262669.316 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262669.441 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262669.565 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262669.690 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262669.814 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262669.938 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262670.063 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262670.188 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262670.310 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262670.436 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262670.559 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262670.683 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262670.806 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262670.929 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262671.052 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262671.177 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262671.301 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262671.426 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262671.554 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262671.679 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262671.803 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262671.929 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262672.053 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262672.177 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262672.299 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262672.422 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262672.548 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262672.670 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262672.789 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262672.915 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262673.035 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262673.159 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262673.282 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262673.405 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262673.528 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262673.651 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
1769262673.774 | SAFE             |    -1 |        |            0 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | +0.00 | STOP   0 | STOP   0
